No.,Season,Episode,Title,Last_Season
1,1,1,Pilot,FALSE
2,1,2,The Lorelais' First Day at Chilton,FALSE
3,1,3,Kill Me Now,FALSE
4,1,4,The Deer Hunters,FALSE
5,1,5,Cinnamon's Wake,FALSE
6,1,6,Rory's Birthday Parties,FALSE
7,1,7,Kiss and Tell,FALSE
8,1,8,Love and War and Snow,FALSE
9,1,9,Rory's Dance,FALSE
10,1,10,Forgiveness and Stuff,FALSE
11,1,11,Paris Is Burning,FALSE
12,1,12,Double Date,FALSE
13,1,13,Concert Interruptus,FALSE
14,1,14,That Damn Donna Reed,FALSE
15,1,15,Christopher Returns,FALSE
16,1,16,Star-Crossed Lovers and Other Strangers,FALSE
17,1,17,"The Breakup, Part 2",FALSE
18,1,18,The Third Lorelai,FALSE
19,1,19,Emily in Wonderland,FALSE
20,1,20,P.S. I Lo...,FALSE
21,1,21,"Love, Daisies and Troubadours",FALSE
22,2,1,"Sadie, Sadie",FALSE
23,2,2,Hammers and Veils,FALSE
24,2,3,Red Light on the Wedding Night,FALSE
25,2,4,The Road Trip to Harvard,FALSE
26,2,5,Nick & Nora/Sid & Nancy,FALSE
27,2,6,Presenting Lorelai Gilmore,FALSE
28,2,7,"Like Mother, Like Daughter",FALSE
29,2,8,The Ins and Outs of Inns,FALSE
30,2,9,"Run Away, Little Boy",FALSE
31,2,10,The Bracebridge Dinner,FALSE
32,2,11,Secrets and Loans,FALSE
33,2,12,Richard in Stars Hollow,FALSE
34,2,13,"A-Tisket, A-Tasket",FALSE
35,2,14,It Should've Been Lorelai,FALSE
36,2,15,Lost and Found,FALSE
37,2,16,There's the Rub,FALSE
38,2,17,Dead Uncles and Vegetables,FALSE
39,2,18,Back in the Saddle Again,FALSE
40,2,19,Teach Me Tonight,FALSE
41,2,20,Help Wanted,FALSE
42,2,21,Lorelai's Graduation Day,FALSE
43,2,22,I Can't Get Started,FALSE
44,3,1,Those Lazy-Hazy-Crazy Days,FALSE
45,3,2,Haunted Leg,FALSE
46,3,3,Application Anxiety,FALSE
47,3,4,One's Got Class and the Other One Dyes,FALSE
48,3,5,Eight O'Clock at the Oasis,FALSE
49,3,6,Take the Deviled Eggs...,FALSE
50,3,7,"They Shoot Gilmores, Don't They?",FALSE
51,3,8,Let the Games Begin,FALSE
52,3,9,A Deep-Fried Korean Thanksgiving,FALSE
53,3,10,"That'll Do, Pig",FALSE
54,3,11,I Solemnly Swear,FALSE
55,3,12,Lorelai Out of Water,FALSE
56,3,13,Dear Emily and Richard,FALSE
57,3,14,Swan Song,FALSE
58,3,15,Face-Off,FALSE
59,3,16,The Big One,FALSE
60,3,17,A Tale of Poes and Fire,FALSE
61,3,18,"Happy Birthday, Baby",FALSE
62,3,19,Keg! Max!,FALSE
63,3,20,"Say Goodnight, Gracie",FALSE
64,3,21,Here Comes the Son,FALSE
65,3,22,"Those Are Strings, Pinocchio",FALSE
66,4,1,Ballrooms and Biscotti,FALSE
67,4,2,The Lorelais' First Day at Yale,FALSE
68,4,3,"The Hobbit, the Sofa and Digger Stiles",FALSE
69,4,4,Chicken or Beef?,FALSE
70,4,5,The Fundamental Things Apply,FALSE
71,4,6,An Affair to Remember,FALSE
72,4,7,The Festival of Living Art,FALSE
73,4,8,"Die, Jerk",FALSE
74,4,9,Ted Koppel's Big Night Out,FALSE
75,4,10,The Nanny and the Professor,FALSE
76,4,11,In the Clamor and the Clangor,FALSE
77,4,12,A Family Matter,FALSE
78,4,13,Nag Hammadi Is Where They Found the Gnostic Gospels,FALSE
79,4,14,The Incredible Sinking Lorelais,FALSE
80,4,15,Scene in a Mall,FALSE
